actividad	sujeto	TimeDomain_BodyAccelerometer_Mean_X	TimeDomain_BodyAccelerometer_Mean_X.1	TimeDomain_BodyAccelerometer_Mean_X.2	TimeDomain_BodyAccelerometer_Mean_X.3	TimeDomain_BodyAccelerometer_Mean_X.4	TimeDomain_BodyAccelerometer_Mean_X.5	actividad.1	actividad.2	actividad.3	actividad.4	actividad.5	actividad.6	actividad.7	actividad.8	actividad.9	actividad.10	actividad.11	actividad.12	actividad.13	actividad.14	actividad.15	actividad.16	actividad.17	actividad.18	actividad.19	actividad.20	actividad.21	actividad.22	actividad.23	actividad.24	actividad.25	actividad.26	actividad.27	actividad.28	actividad.29	actividad.30	actividad.31	actividad.32	actividad.33	actividad.34	TimeDomain_BodyAccelerometer_Mean_X.6	TimeDomain_BodyAccelerometer_Mean_X.7	TimeDomain_BodyAccelerometer_Mean_X.8	TimeDomain_BodyAccelerometer_Mean_X.9	TimeDomain_BodyAccelerometer_Mean_X.10	TimeDomain_BodyAccelerometer_Mean_X.11	actividad.35	actividad.36	actividad.37	actividad.38	actividad.39	actividad.40	actividad.41	actividad.42	actividad.43	actividad.44	actividad.45	actividad.46	actividad.47	actividad.48	actividad.49	actividad.50	actividad.51	actividad.52	actividad.53	actividad.54	actividad.55	actividad.56	actividad.57	actividad.58	actividad.59	actividad.60	actividad.61	actividad.62	actividad.63	actividad.64	actividad.65	actividad.66	actividad.67
LAYING	1	0.221598244	0.221598244	0.221598244	0.221598244	0.221598244	0.221598244	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.221598244	0.221598244	0.221598244	0.221598244	0.221598244	0.221598244	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	1	0.261237565	0.261237565	0.261237565	0.261237565	0.261237565	0.261237565	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.261237565	0.261237565	0.261237565	0.261237565	0.261237565	0.261237565	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	1	0.278917629	0.278917629	0.278917629	0.278917629	0.278917629	0.278917629	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.278917629	0.278917629	0.278917629	0.278917629	0.278917629	0.278917629	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	1	0.277330759	0.277330759	0.277330759	0.277330759	0.277330759	0.277330759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.277330759	0.277330759	0.277330759	0.277330759	0.277330759	0.277330759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WALKING_DOWNSTAIRS	1	0.28918832	0.28918832	0.28918832	0.28918832	0.28918832	0.28918832	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0.28918832	0.28918832	0.28918832	0.28918832	0.28918832	0.28918832	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
WALKING_UPSTAIRS	1	0.25546169	0.25546169	0.25546169	0.25546169	0.25546169	0.25546169	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0.25546169	0.25546169	0.25546169	0.25546169	0.25546169	0.25546169	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LAYING	2	0.281373404	0.281373404	0.281373404	0.281373404	0.281373404	0.281373404	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	0.281373404	0.281373404	0.281373404	0.281373404	0.281373404	0.281373404	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
SITTING	2	0.277087352	0.277087352	0.277087352	0.277087352	0.277087352	0.277087352	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0.277087352	0.277087352	0.277087352	0.277087352	0.277087352	0.277087352	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
STANDING	2	0.277911472	0.277911472	0.277911472	0.277911472	0.277911472	0.277911472	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0.277911472	0.277911472	0.277911472	0.277911472	0.277911472	0.277911472	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
WALKING	2	0.276426586	0.276426586	0.276426586	0.276426586	0.276426586	0.276426586	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276426586	0.276426586	0.276426586	0.276426586	0.276426586	0.276426586	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
